Date,year,quarter,month,month_name,iso_week,year_month,week_start_date
2010-02-05,2010,1,2,February,5,2010-02,2010-02-01
2010-02-05,2010,1,2,February,5,2010-02,2010-02-01
2010-02-05,2010,1,2,February,5,2010-02,2010-02-01
2010-02-05,2010,1,2,February,5,2010-02,2010-02-01
2010-02-05,2010,1,2,February,5,2010-02,2010-02-01
2010-02-05,2010,1,2,February,5,2010-02,2010-02-01
2010-02-05,2010,1,2,February,5,2010-02,2010-02-01
2010-02-05,2010,1,2,February,5,2010-02,2010-02-01
2010-02-12,2010,1,2,February,6,2010-02,2010-02-08
2010-02-12,2010,1,2,February,6,2010-02,2010-02-08
2010-02-12,2010,1,2,February,6,2010-02,2010-02-08
2010-02-12,2010,1,2,February,6,2010-02,2010-02-08
2010-02-12,2010,1,2,February,6,2010-02,2010-02-08
2010-02-12,2010,1,2,February,6,2010-02,2010-02-08
2010-02-12,2010,1,2,February,6,2010-02,2010-02-08
2010-02-12,2010,1,2,February,6,2010-02,2010-02-08
2010-02-12,2010,1,2,February,6,2010-02,2010-02-08
2010-02-12,2010,1,2,February,6,2010-02,2010-02-08
2010-02-19,2010,1,2,February,7,2010-02,2010-02-15
2010-02-19,2010,1,2,February,7,2010-02,2010-02-15
2010-02-19,2010,1,2,February,7,2010-02,2010-02-15
2010-02-19,2010,1,2,February,7,2010-02,2010-02-15
2010-02-19,2010,1,2,February,7,2010-02,2010-02-15
2010-02-19,2010,1,2,February,7,2010-02,2010-02-15
2010-02-19,2010,1,2,February,7,2010-02,2010-02-15
2010-02-19,2010,1,2,February,7,2010-02,2010-02-15
2010-02-19,2010,1,2,February,7,2010-02,2010-02-15
2010-02-19,2010,1,2,February,7,2010-02,2010-02-15
2010-02-26,2010,1,2,February,8,2010-02,2010-02-22
2010-02-26,2010,1,2,February,8,2010-02,2010-02-22
2010-02-26,2010,1,2,February,8,2010-02,2010-02-22
2010-02-26,2010,1,2,February,8,2010-02,2010-02-22
2010-02-26,2010,1,2,February,8,2010-02,2010-02-22
2010-03-05,2010,1,3,March,9,2010-03,2010-03-01
2010-03-05,2010,1,3,March,9,2010-03,2010-03-01
2010-03-05,2010,1,3,March,9,2010-03,2010-03-01
2010-03-05,2010,1,3,March,9,2010-03,2010-03-01
2010-03-05,2010,1,3,March,9,2010-03,2010-03-01
2010-03-05,2010,1,3,March,9,2010-03,2010-03-01
2010-03-05,2010,1,3,March,9,2010-03,2010-03-01
2010-03-05,2010,1,3,March,9,2010-03,2010-03-01
2010-03-05,2010,1,3,March,9,2010-03,2010-03-01
2010-03-12,2010,1,3,March,10,2010-03,2010-03-08
2010-03-12,2010,1,3,March,10,2010-03,2010-03-08
2010-03-12,2010,1,3,March,10,2010-03,2010-03-08
2010-03-12,2010,1,3,March,10,2010-03,2010-03-08
2010-03-12,2010,1,3,March,10,2010-03,2010-03-08
2010-03-12,2010,1,3,March,10,2010-03,2010-03-08
2010-03-12,2010,1,3,March,10,2010-03,2010-03-08
2010-03-19,2010,1,3,March,11,2010-03,2010-03-15
2010-03-19,2010,1,3,March,11,2010-03,2010-03-15
2010-03-19,2010,1,3,March,11,2010-03,2010-03-15
2010-03-19,2010,1,3,March,11,2010-03,2010-03-15
2010-03-26,2010,1,3,March,12,2010-03,2010-03-22
2010-03-26,2010,1,3,March,12,2010-03,2010-03-22
2010-03-26,2010,1,3,March,12,2010-03,2010-03-22
2010-03-26,2010,1,3,March,12,2010-03,2010-03-22
2010-03-26,2010,1,3,March,12,2010-03,2010-03-22
2010-03-26,2010,1,3,March,12,2010-03,2010-03-22
2010-03-26,2010,1,3,March,12,2010-03,2010-03-22
2010-04-02,2010,2,4,April,13,2010-04,2010-03-29
2010-04-02,2010,2,4,April,13,2010-04,2010-03-29
2010-04-02,2010,2,4,April,13,2010-04,2010-03-29
2010-04-02,2010,2,4,April,13,2010-04,2010-03-29
2010-04-02,2010,2,4,April,13,2010-04,2010-03-29
2010-04-02,2010,2,4,April,13,2010-04,2010-03-29
2010-04-02,2010,2,4,April,13,2010-04,2010-03-29
2010-04-02,2010,2,4,April,13,2010-04,2010-03-29
2010-04-02,2010,2,4,April,13,2010-04,2010-03-29
2010-04-02,2010,2,4,April,13,2010-04,2010-03-29
2010-04-09,2010,2,4,April,14,2010-04,2010-04-05
2010-04-09,2010,2,4,April,14,2010-04,2010-04-05
2010-04-09,2010,2,4,April,14,2010-04,2010-04-05
2010-04-09,2010,2,4,April,14,2010-04,2010-04-05
2010-04-09,2010,2,4,April,14,2010-04,2010-04-05
2010-04-09,2010,2,4,April,14,2010-04,2010-04-05
2010-04-09,2010,2,4,April,14,2010-04,2010-04-05
2010-04-16,2010,2,4,April,15,2010-04,2010-04-12
2010-04-16,2010,2,4,April,15,2010-04,2010-04-12
2010-04-16,2010,2,4,April,15,2010-04,2010-04-12
2010-04-16,2010,2,4,April,15,2010-04,2010-04-12
2010-04-16,2010,2,4,April,15,2010-04,2010-04-12
2010-04-16,2010,2,4,April,15,2010-04,2010-04-12
2010-04-16,2010,2,4,April,15,2010-04,2010-04-12
2010-04-16,2010,2,4,April,15,2010-04,2010-04-12
2010-04-16,2010,2,4,April,15,2010-04,2010-04-12
2010-04-23,2010,2,4,April,16,2010-04,2010-04-19
2010-04-23,2010,2,4,April,16,2010-04,2010-04-19
2010-04-23,2010,2,4,April,16,2010-04,2010-04-19
2010-04-23,2010,2,4,April,16,2010-04,2010-04-19
2010-04-23,2010,2,4,April,16,2010-04,2010-04-19
2010-04-23,2010,2,4,April,16,2010-04,2010-04-19
2010-04-23,2010,2,4,April,16,2010-04,2010-04-19
2010-04-23,2010,2,4,April,16,2010-04,2010-04-19
2010-04-23,2010,2,4,April,16,2010-04,2010-04-19
2010-04-23,2010,2,4,April,16,2010-04,2010-04-19
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-04-30,2010,2,4,April,17,2010-04,2010-04-26
2010-05-07,2010,2,5,May,18,2010-05,2010-05-03
2010-05-07,2010,2,5,May,18,2010-05,2010-05-03
2010-05-07,2010,2,5,May,18,2010-05,2010-05-03
2010-05-07,2010,2,5,May,18,2010-05,2010-05-03
2010-05-07,2010,2,5,May,18,2010-05,2010-05-03
2010-05-07,2010,2,5,May,18,2010-05,2010-05-03
2010-05-07,2010,2,5,May,18,2010-05,2010-05-03
2010-05-14,2010,2,5,May,19,2010-05,2010-05-10
2010-05-14,2010,2,5,May,19,2010-05,2010-05-10
2010-05-14,2010,2,5,May,19,2010-05,2010-05-10
2010-05-14,2010,2,5,May,19,2010-05,2010-05-10
2010-05-14,2010,2,5,May,19,2010-05,2010-05-10
2010-05-14,2010,2,5,May,19,2010-05,2010-05-10
2010-05-21,2010,2,5,May,20,2010-05,2010-05-17
2010-05-21,2010,2,5,May,20,2010-05,2010-05-17
2010-05-21,2010,2,5,May,20,2010-05,2010-05-17
