week_start_date,store_id,store_type,dept_id,total_sales,wow_sales_change_pct,trend_8w_change_pct,volatility_cv,risk_score,risk_rank
2012-03-26,1,A,60,792,0.682170543,1.267605634,0.23473854118344303,7.042156235503291,131
2012-03-26,1,A,24,5401.75,0.990093112,0.40557028,0.22415329522137173,6.7245988566411521,136
2012-03-26,1,A,12,12109.21,1.057680079,1.674411498,0.18610108313680362,5.583032494104109,172
2012-03-26,1,A,35,3174.24,1.295544708,1.296137199,0.18070535538960744,5.4211606616882229,179
2012-03-26,1,A,82,19953.17,0.662183231,,0.17245343084958334,,320
2012-07-23,1,A,54,30.92,0.773,0.48433584,1.15198809751862,30.0,1
2012-07-23,1,A,72,34394.82,0.926450565,0.95430229,0.24935505123915266,7.48065153717458,158
2012-07-23,1,A,38,70457.7,0.902465016,0.869099864,0.13584629273429868,4.0753887820289609,253
2012-07-23,1,A,30,2959,1.048695775,0.969648908,0.12520275357711508,3.7560826073134521,267
2012-07-23,1,A,12,11109.25,0.993892205,0.832363675,0.075983159924978491,2.2794947977493547,322
2012-07-23,1,A,81,28986.06,0.936802332,1.016396041,0.066817227559064732,2.0045168267719418,334
2010-06-14,1,A,34,12869,0.788671179,,0.12236108972055688,,1
2010-06-14,1,A,72,43244.02,1.119192207,,0.170211358977308,,1
2010-06-14,1,A,5,19778.44,1.22412774,,0.16623009692295659,,1
2010-06-14,1,A,14,12693.5,0.939094782,,0.052980460185450773,,1
2010-06-14,1,A,8,33387.48,0.952673193,,0.033419868339925364,,1
2010-06-14,1,A,3,8201.06,0.974843956,,0.17868266099867491,,1
2010-06-14,1,A,7,26984.25,0.605521133,,0.39699301503321038,,1
2010-06-14,1,A,20,5596.07,1.086197928,,0.14127659148645322,,1
2010-06-14,1,A,49,10764.54,1.024946346,,0.16980412196421121,,1
2010-06-14,1,A,38,86860.94,0.952636618,,0.06488908780503963,,1
2010-06-14,1,A,29,4022,1.060164745,,0.041300482437598304,,1
2010-06-14,1,A,85,3607.73,0.74737529,,0.17729776160435937,,1
2010-02-08,1,A,2,44682.74,,,,,1
2010-02-08,1,A,90,79455.64,,,,,1
2010-02-08,1,A,54,383,,,,,1
2010-02-08,1,A,46,18826.47,,,,,1
2010-02-08,1,A,11,21760.75,,,,,1
2010-02-08,1,A,95,111390.36,,,,,1
2010-02-08,1,A,51,28.11,,,,,1
2010-02-08,1,A,93,70202.02,,,,,1
2010-02-08,1,A,80,16720.84,,,,,1
2010-02-08,1,A,67,17614.47,2.093436762,,0.49988191702545992,,1
2012-03-12,1,A,59,223.09,0.805291846,0.463582902,1.3039161124338441,30.0,1
2012-03-12,1,A,11,24841.76,0.967873098,1.536708905,0.2570890648403768,7.7126719452113042,138
2012-03-12,1,A,3,8845.73,0.714007353,1.070116161,0.21572891514543779,6.4718674543631334,171
2012-03-12,1,A,10,33405.1,0.855748032,1.050671761,0.15600620612541774,4.6801861837625323,219
2012-03-12,1,A,4,38125.32,0.818769981,1.007868046,0.11053271677674777,3.3159815033024329,266
2012-03-12,1,A,79,32723.28,1.049293914,1.014643572,0.079491777005184644,2.3847533101555394,291
2011-07-11,1,A,32,6235.95,0.780786928,0.872023023,0.99469493839020107,29.840848151706034,10
2011-07-11,1,A,6,3154.33,0.77924712,0.548671689,0.79185580084154072,23.755674025246222,17
