week_start_date,store_id,store_type,store_size,dept_id,weekly_sales,is_holiday
2011-06-27,1,A,151315,56,1996.97,false
2011-06-27,1,A,151315,60,1126.4,false
2011-06-27,1,A,151315,27,623.57,false
2011-06-27,1,A,151315,82,20927.08,false
2011-06-27,1,A,151315,4,36451.71,false
2011-06-27,1,A,151315,85,2791.58,false
2011-06-27,1,A,151315,97,36457.02,false
2011-06-27,1,A,151315,6,4047.92,false
2011-06-27,1,A,151315,98,8283.28,false
2011-06-27,1,A,151315,79,35335.8,false
2011-06-27,1,A,151315,46,20260.49,false
2011-06-27,2,A,202307,3,10217.77,false
2011-06-27,2,A,202307,2,64838.42,false
2011-06-27,2,A,202307,83,5861.39,false
2011-06-27,2,A,202307,23,27176.45,false
2011-06-27,2,A,202307,32,9351.1,false
2011-06-27,2,A,202307,1,21706.59,false
2011-06-27,2,A,202307,30,5251.54,false
2011-06-27,2,A,202307,87,24532.12,false
2011-06-27,2,A,202307,49,17470.82,false
2011-06-27,2,A,202307,29,6120.23,false
2011-06-27,2,A,202307,4,46307.86,false
2011-06-27,3,B,37392,13,11377.83,false
2011-06-27,3,B,37392,19,409.87,false
2011-06-27,3,B,37392,56,521.69,false
2011-06-27,3,B,37392,24,2260.61,false
2011-06-27,3,B,37392,9,7418.33,false
2011-06-27,3,B,37392,60,149.6,false
2011-06-27,3,B,37392,7,8816.35,false
2011-06-27,3,B,37392,46,5742.09,false
2011-06-27,4,A,205863,82,28792.15,false
2011-06-27,4,A,205863,52,3036.52,false
2011-06-27,4,A,205863,10,40691.89,false
2011-06-27,4,A,205863,32,11017.81,false
2011-06-27,4,A,205863,13,68654.05,false
2011-06-27,5,B,34875,4,10113.24,false
2011-06-27,5,B,34875,24,982.22,false
2011-06-27,5,B,34875,41,429.88,false
2011-06-27,5,B,34875,44,982.98,false
2011-06-27,5,B,34875,5,6469.61,false
2011-06-27,5,B,34875,22,1979.61,false
2011-06-27,5,B,34875,92,7153.02,false
2011-06-27,5,B,34875,30,543.04,false
2011-06-27,5,B,34875,55,2812.64,false
2011-06-27,6,A,202505,55,16897.08,false
2011-06-27,6,A,202505,58,1984.97,false
2011-06-27,6,A,202505,98,10665.68,false
2011-06-27,6,A,202505,10,54135.38,false
2011-06-27,6,A,202505,22,21194.33,false
2011-06-27,6,A,202505,44,7546.8,false
2011-06-27,6,A,202505,19,2576.63,false
2011-06-27,6,A,202505,81,17608.31,false
2011-06-27,6,A,202505,97,25149.4,false
2011-06-27,7,B,70713,74,10861.04,false
2011-06-27,7,B,70713,6,7152.8,false
2011-06-27,7,B,70713,54,10,false
2011-06-27,7,B,70713,7,14827.17,false
2011-06-27,7,B,70713,35,517,false
2011-06-27,7,B,70713,91,11351.32,false
2011-06-27,8,A,155078,40,32933.35,false
2011-06-27,8,A,155078,19,597.66,false
2011-06-27,8,A,155078,13,24915.04,false
2011-06-27,8,A,155078,36,2945,false
2011-06-27,8,A,155078,92,51569.58,false
2011-06-27,8,A,155078,59,298.57,false
2011-06-27,8,A,155078,4,21129.98,false
2011-06-27,8,A,155078,33,4511.42,false
2011-06-27,8,A,155078,29,2129.18,false
2011-06-27,8,A,155078,6,2114.21,false
2011-06-27,9,B,125833,17,5473.17,false
2011-06-27,9,B,125833,74,7731.84,false
2011-06-27,9,B,125833,47,-148,false
2011-06-27,9,B,125833,95,36496.07,false
2011-06-27,9,B,125833,10,14236.26,false
2011-06-27,9,B,125833,82,9770.37,false
2011-06-27,9,B,125833,3,5099.84,false
2011-06-27,10,B,126512,95,78715.16,false
2011-06-27,10,B,126512,23,60859.57,false
2011-06-27,10,B,126512,41,7152.12,false
2011-06-27,10,B,126512,38,85992.74,false
2011-06-27,11,A,207499,79,31266.48,false
2011-06-27,11,A,207499,42,5555.07,false
2011-06-27,11,A,207499,37,4092.48,false
2011-06-27,11,A,207499,54,102.76,false
2011-06-27,11,A,207499,30,6986.67,false
2011-06-27,11,A,207499,40,53100.01,false
2011-06-27,11,A,207499,82,23390.18,false
2011-06-27,11,A,207499,2,59856.47,false
2011-06-27,12,B,112238,95,51315.28,false
2011-06-27,12,B,112238,72,48769.72,false
2011-06-27,12,B,112238,35,2826.08,false
2011-06-27,12,B,112238,34,23387.31,false
2011-06-27,12,B,112238,79,41688.86,false
2011-06-27,12,B,112238,36,6946,false
2011-06-27,12,B,112238,17,9211.43,false
2011-06-27,13,A,219622,24,8880,false
2011-06-27,13,A,219622,97,31658.28,false
2011-06-27,13,A,219622,79,56179.78,false
2011-06-27,13,A,219622,22,13752.85,false
2011-06-27,13,A,219622,42,9387.49,false
2011-06-27,13,A,219622,36,15148,false
2011-06-27,13,A,219622,21,7170.17,false
2011-06-27,13,A,219622,10,38198.25,false
2011-06-27,14,A,200898,26,10657.72,false
2011-06-27,14,A,200898,60,255.2,false
2011-06-27,14,A,200898,44,4286.91,false
2011-06-27,15,B,123737,35,2987.98,false
2011-06-27,15,B,123737,46,14020.79,false
2011-06-27,15,B,123737,7,25632.37,false
2011-06-27,15,B,123737,50,2292,false
2011-06-27,15,B,123737,23,22155.68,false
2011-06-27,15,B,123737,8,21871.98,false
2011-06-27,15,B,123737,16,33252.54,false
2011-06-27,16,B,57197,54,15,false
2011-06-27,16,B,57197,16,32570.27,false
2011-06-27,16,B,57197,4,18030.21,false
2011-06-27,16,B,57197,34,8245.11,false
2011-06-27,16,B,57197,1,11283.99,false
2011-06-27,16,B,57197,3,6459.82,false
2011-06-27,16,B,57197,96,154.42,false
2011-06-27,16,B,57197,26,1574.42,false
2011-06-27,16,B,57197,52,1463.82,false
