store_id,dept_id,date,week_start_date,weekly_sales,is_holiday
1,49,2010-02-05,2010-02-01,11501.46,false
1,33,2010-02-05,2010-02-01,8589.77,false
1,7,2010-02-05,2010-02-01,21084.08,false
1,58,2010-02-05,2010-02-01,7659.97,false
1,23,2010-02-05,2010-02-01,24146.49,false
1,91,2010-02-05,2010-02-01,62424.14,false
1,6,2010-02-05,2010-02-01,5749.03,false
1,67,2010-02-05,2010-02-01,8414.14,false
1,51,2010-02-12,2010-02-08,28.11,true
1,54,2010-02-12,2010-02-08,383,true
1,11,2010-02-12,2010-02-08,21760.75,true
1,95,2010-02-12,2010-02-08,111390.36,true
1,46,2010-02-12,2010-02-08,18826.47,true
1,67,2010-02-12,2010-02-08,17614.47,true
1,80,2010-02-12,2010-02-08,16720.84,true
1,90,2010-02-12,2010-02-08,79455.64,true
1,2,2010-02-12,2010-02-08,44682.74,true
1,93,2010-02-12,2010-02-08,70202.02,true
1,47,2010-02-19,2010-02-15,-863,false
1,40,2010-02-19,2010-02-15,68569.53,false
1,90,2010-02-19,2010-02-15,76091.36,false
1,25,2010-02-19,2010-02-15,10271.25,false
1,83,2010-02-19,2010-02-15,9080.26,false
1,81,2010-02-19,2010-02-15,28784.91,false
1,31,2010-02-19,2010-02-15,2652,false
1,94,2010-02-19,2010-02-15,72212.32,false
1,3,2010-02-19,2010-02-15,11523.47,false
1,92,2010-02-19,2010-02-15,135066.75,false
1,3,2010-02-26,2010-02-22,11135.17,false
1,95,2010-02-26,2010-02-22,103652.58,false
1,97,2010-02-26,2010-02-22,28457.31,false
1,21,2010-02-26,2010-02-22,8592.42,false
1,72,2010-02-26,2010-02-22,55590.73,false
1,93,2010-03-05,2010-03-01,63550.08,false
1,16,2010-03-05,2010-03-01,17129.81,false
1,55,2010-03-05,2010-03-01,16120.04,false
1,20,2010-03-05,2010-03-01,4215.67,false
1,91,2010-03-05,2010-03-01,62755.71,false
1,46,2010-03-05,2010-03-01,20565.45,false
1,27,2010-03-05,2010-03-01,1467.5,false
1,26,2010-03-05,2010-03-01,8772.65,false
1,11,2010-03-05,2010-03-01,19082.9,false
1,7,2010-03-12,2010-03-08,21529.14,false
1,67,2010-03-12,2010-03-08,6759.29,false
1,80,2010-03-12,2010-03-08,14708.62,false
1,26,2010-03-12,2010-03-08,7877.4,false
1,27,2010-03-12,2010-03-08,1130,false
1,81,2010-03-12,2010-03-08,29272.13,false
1,52,2010-03-12,2010-03-08,2492.52,false
1,91,2010-03-19,2010-03-15,63250.87,false
1,5,2010-03-19,2010-03-15,22632.57,false
1,27,2010-03-19,2010-03-15,1214,false
1,40,2010-03-19,2010-03-15,57384.35,false
1,72,2010-03-26,2010-03-22,40796.33,false
1,93,2010-03-26,2010-03-22,55082.4,false
1,31,2010-03-26,2010-03-22,1945.42,false
1,33,2010-03-26,2010-03-22,4708.77,false
1,67,2010-03-26,2010-03-22,6170.29,false
1,9,2010-03-26,2010-03-22,27897.97,false
1,55,2010-03-26,2010-03-22,11836.92,false
1,24,2010-04-02,2010-03-29,7219.38,false
1,67,2010-04-02,2010-03-29,7963.67,false
1,95,2010-04-02,2010-03-29,111466.37,false
1,27,2010-04-02,2010-03-29,934.5,false
1,85,2010-04-02,2010-03-29,3585.97,false
1,10,2010-04-02,2010-03-29,31794.04,false
1,58,2010-04-02,2010-03-29,4587,false
1,17,2010-04-02,2010-03-29,9572.23,false
1,79,2010-04-02,2010-03-29,40910.94,false
1,54,2010-04-02,2010-03-29,220,false
1,38,2010-04-09,2010-04-05,98689.46,false
1,83,2010-04-09,2010-04-05,6861.06,false
